Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
30,16.865636825561523,7.989409446716309,79.1152114868164,-1.171562851060121,-3.8495444175364306,92.10157215789937,3.992341,14.249194,-3.0088105,30.426035,-21.47062,-15.000033,7.027816,-18.2176,-10.657795,31.268116,-18.173555,15.000033,-2.9213555,-1.4911662,6.9286723,44.315372,69.62702,23.497715,4.8293576,32.292484,7.132818,-9.208041,33.96743,-71.17968,-22.423855,-11.031136,-17.204239,-3.1948347,17.80036
31,17.59080696105957,8.12053108215332,78.44802856445312,-1.3248797905672198,-5.062468318652958,91.99504353940932,2.7712882,14.1346855,-5.54392,34.640896,-23.164568,-15.000033,4.776221,-18.152178,-9.864695,38.208977,-22.463257,13.023077,-2.1569831,-2.76315,8.077408,49.848114,70.96804,10.814315,-14.672023,36.31785,7.7943325,-9.378277,42.794888,-69.52097,-9.465781,-34.199383,-27.349684,-2.1668844,18.35507
32,18.406850814819336,8.35623836517334,77.50604248046875,-1.6434016854650153,-5.59998781860107,92.10162433086481,0.6230961,14.992391,-6.7970824,39.504135,-25.24925,-15.000033,3.4188042,-17.231836,-9.001175,42.78902,-26.919117,12.043652,-1.4652501,-3.437186,7.3089952,47.075085,71.98428,4.285283,-32.989815,36.26772,5.897135,-9.374001,40.117043,-67.8953,-3.5617344,-45.345158,-29.30708,-2.1276124,17.089281
33,19.283843994140625,8.734956741333008,76.0997543334961,-2.4176900573772793,-3.5385945877761196,91.89700912293257,-3.13144,17.190905,-7.0320134,43.628277,-26.311462,-15.000033,1.0170238,-15.684378,-8.717847,45.821823,-31.6808,11.55396,-0.9730539,-4.189996,5.405928,39.84492,70.673096,0.9239886,-47.538197,30.948727,1.1091448,-1.0916595,33.56199,-64.22697,-1.9825754,-51.581764,-26.344332,-6.583328,7.190604
34,20.187320709228516,9.156538963317871,74.60941314697266,-5.15877046514137,-1.0025349303027875,91.80180650383042,-8.373349,21.61239,-8.612282,50.1077,-24.21676,-15.000033,-0.37609753,-11.243488,-8.960593,46.15493,-35.092453,10.951714,-0.41829732,-4.767248,1.6869252,22.900545,63.502724,1.0312692,-47.776627,19.266409,-5.1242948,17.075832,22.632658,-55.745403,-4.409618,-46.51139,-19.870968,-11.066341,-15.011913
35,21.18962860107422,9.50745677947998,73.71693420410156,-6.81701764178476,-0.15144303736811743,92.62955474598074,-11.110013,25.300922,-9.732303,53.801205,-23.430647,-15.000033,-1.2138149,-8.145303,-9.368519,48.37376,-37.29208,9.232562,-1.5275627,-5.961373,-2.2239723,9.260947,55.695152,6.4821644,-34.389694,7.2853885,-11.242727,33.737232,14.309089,-47.03201,-12.139175,-33.576588,-11.4543,-12.37876,-30.476921
36,22.19980239868164,9.75964641571045,73.22032928466797,-7.3657999065509605,-0.7081183457221033,92.65354539310668,-12.842025,26.91029,-11.396935,58.809277,-22.292046,-15.000033,-1.1726103,-6.2233386,-8.959594,50.5508,-38.31213,8.424649,-1.9528923,-6.5464344,-4.642309,6.371515,49.920746,15.494451,-19.328327,-3.687006,-14.249514,49.767765,15.741469,-39.654984,-20.600903,-19.129183,-0.50205296,-9.942521,-45.133587
37,23.160873413085938,9.845685005187988,73.39424133300781,-9.297730833330313,-4.828504482599193,92.47898449562736,-14.111706,29.98616,-13.837676,65.59974,-18.409756,-15.000033,1.6427,-0.86171293,-5.8673215,51.980877,-39.355137,6.231318,-1.6961946,-5.158649,-3.8526633,12.583984,45.502697,20.974949,-6.0132446,-15.553074,-10.608571,61.825108,18.982811,-33.46111,-25.34959,-4.242986,17.387663,-9.2554655,-50.851105
38,23.930580139160156,9.892847061157227,72.82379150390625,-9.95095053365963,-5.493111913329647,90.72550036685561,-14.830862,30.749039,-14.9196,69.2282,-20.295053,-15.000033,1.2829369,1.5605574,-3.9251544,53.66847,-39.905064,4.3509536,-1.0781316,-4.138911,-2.6551178,20.30382,41.070477,19.04877,7.980951,-32.910534,-7.879071,62.229763,22.252855,-27.47437,-23.10632,14.16641,36.850086,-9.541842,-48.48321
39,24.465482711791992,9.844132423400879,72.21047973632812,-9.286022812833544,-7.278563722031443,89.46258762848998,-15.876517,28.30502,-17.788404,75.7609,-15.876948,-15.000033,1.046965,1.5836002,-2.5606022,58.005318,-41.161163,2.9677317,-0.7581681,-3.4783049,-0.577058,23.059664,38.093517,15.254554,22.936586,-41.27286,-6.0571837,54.367416,22.072958,-22.916555,-19.478836,26.240952,48.649197,-8.899534,-41.72718
40,24.68711280822754,9.793437957763672,71.21558380126953,-8.67370065019353,-8.06954530520388,87.6077904804734,-16.152636,26.31659,-19.53293,81.01316,-15.732274,-15.000033,-0.14101198,1.310507,-1.1217762,62.383183,-43.055088,1.4111512,-0.7111249,-3.0645907,0.7638841,21.779108,34.686523,3.6143365,44.621445,-48.371956,-1.3737476,39.392754,18.890821,-18.252249,-10.194582,46.38363,58.93165,-8.277138,-32.59024
41,24.62712287902832,9.753049850463867,70.49340057373047,-8.365841977692318,-9.095989662790764,87.45085875065033,-16.920067,24.352337,-21.871082,85.71246,-15.51774,-15.000033,-0.7884177,1.5099748,-0.025376929,66.203125,-44.371937,0.90750176,0.071909554,-2.252282,2.4282024,19.829489,33.572083,0.7456832,49.74931,-51.487694,0.80947053,32.21585,18.121885,-16.645039,-10.538323,46.5002,60.368317,-7.251129,-30.368303
42,24.191635131835938,9.810009956359863,69.96330261230469,-7.680700293451015,-8.85350030021035,88.08931207904229,-16.606102,21.501749,-23.050936,87.46966,-15.741504,-15.000033,-1.2471547,1.3094224,1.2710364,67.50096,-45.19351,3.01416,1.0008795,-1.728258,4.457228,19.797903,35.153328,6.1199093,42.327877,-48.901657,-1.1576574,36.3258,21.58536,-17.980608,-20.296268,29.820587,53.661232,-7.5408087,-34.252666
